,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brazil,787218.3097882075,813213.7235786594,842705.5146054641,862284.5015969605,910587.1841525532,943223.196029525,939964.3950767696,971447.0204141663,991207.526918952,940687.9221179343,1032983.1255895616,1042433.2871912459,1064640.636098049,1091544.0901869314,1121200.5198537246,1158241.126,1136339.172,1147596.246,1128308.956,1134777.428,1131895.779,1187168.936,1149296.71
China,4561712.070000287,4769488.325678666,5077332.858818931,5733167.084916118,6522132.02891637,7290638.206555815,7981175.838665724,8588228.395475304,8789445.175463822,9287415.352394897,10057504.113300655,10960843.34951545,11167505.167303767,11666341.934942245,11788535.374369198,12518240.016999999,12479658.07,12735659.852,13316408.595999999,13660681.750999998,13910841.464,14627382.512,14699945.057
EU,3740074.029737724,3715838.113026524,3731389.14181298,3809603.1005317224,3847611.9672396644,3825157.6913142316,3866712.9516411033,3924955.939710264,3804929.940672093,3554781.468792734,3700827.1129805786,3680252.3103886927,3582565.251953343,3514710.0008081263,3414537.76766274,3237826.19,3233182.929,3280681.704,3223708.207,3071716.797,2767307.344,2921167.488,2893812.163
India,1748003.1757588172,1768823.4307821356,1787678.8463709352,1826650.0981476652,1913595.6299065272,1999619.5867271973,2104584.0032110685,2260065.609751132,2331782.9474756154,2488666.862338068,2600914.004167071,2719153.746692037,2825308.4262231262,2891314.7355187456,3050644.834335212,3103396.79,3147401.1210000003,3282543.933,3437545.8789999997,3408634.56,3208473.698,3436118.0829999996,3606196.674
Japan,1151948.0359400257,1141664.7020864924,1170712.2449661517,1182251.1996388186,1186471.4079952908,1195487.7748383705,1196537.6623720892,1253371.3139972852,1181501.9536345168,1106430.2346904026,1166550.0966646401,1232169.5364569498,1269556.5619840163,1301104.7891078521,1278440.3254877126,1218570.524,1210703.117,1197807.594,1162575.537,1125936.175,1062264.776,1079518.028,1095561.178
Rest,9594036.270604031,9709257.656760667,9883250.41564635,10231081.911890117,10626095.45482661,10970880.220085846,11358732.376089843,11675372.295216326,12041776.983806077,11892865.6730906,12452635.01885091,12870656.601271534,13228994.137357691,13310753.073485414,13554769.023104982,14133523.540000001,14405957.995,14702993.314,14958227.714,15023787.378999999,14483442.315000001,14946679.806,15260730.031000001
Russia,1797767.9111408172,1780272.6938921893,1809126.9073856275,1839470.1605849485,1870748.372753723,1872416.8983890463,1952065.1648986342,1965223.865532015,1974857.937676415,1803406.7555055714,1946823.0770276517,2040881.984607194,2068902.1971445747,2020366.4377912004,1922225.342033768,2031130.914,2012549.195,2048611.9279999998,2115009.9609999997,2202854.891,2113187.522,2262057.931,2250468.2849999997
South,341010.804787161,326057.28138718253,337318.4285124955,360381.9174080184,382629.4703216089,387914.14412679116,386168.24077647756,393744.3582923227,427742.4873451496,421957.3229259711,428763.5205284089,414101.25242046185,427160.65333877376,438242.90067655174,450441.4726226829,533449.187,536843.625,537249.956,546257.679,558247.216,502102.329,496645.7050000001,482390.86799999996
UK,629829.2999999999,633957.8,610636.8,617374.9,614000.2,612102.3,598671.1,593207.8999999999,571979.1,516493.10000000003,524146.9,502323.8,508867.6,492955.7,472959.2,458708.7,433272.0,418159.0,419508.2,409483.1,364450.1,367854.4,381276.4
USA,5271878.036887741,5239019.782147928,5198930.432361109,5195726.5622287085,5312396.277807129,5393849.873595297,5366718.682752639,5444220.815302429,5311319.0877555385,4960314.829341059,5191201.167896203,5144832.439598999,4966632.592950448,4975812.614574861,5016915.488074525,5020341.518,4909254.03,4846248.787,4983128.651,4896769.606000001,4475587.051,4710135.146,4782408.337
