Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UK,0.09757,0.02888,0.00944,0.01708,0.05108,0.0756,0.12711,-0.01561,0.02724,-0.08848,0.06531,0.06938,0.00748,0.00291,0.01009,0.03771,0.02768,0.06766,0.03079,0.02001,-0.11792,0.0323,0.12568,-0.00418,-0.01162,-0.00416
BRA,0.1292,0.08702,0.08471,0.14237,0.16029,0.10304,0.03758,0.06156,-0.01738,-0.08625,0.07173,0.02361,0.01011,0.02877,-0.00362,0.08887,0.04214,0.04785,0.03416,-0.01676,-0.01338,0.02275,0.06113,0.09444,-0.00221,0.04
CHI,0.26444,0.1123,0.25068,0.31446,0.26925,0.24338,0.26019,0.21128,0.10836,-0.1056,0.28461,0.10964,0.05882,0.0876,0.04295,-0.02156,0.00679,0.06954,0.04246,0.01957,-0.0315,0.18517,-0.00241,0.01806,0.13887,-0.00346
IND,0.11398,0.02413,0.17719,0.16239,0.27034,0.17903,0.15956,0.18473,0.07163,-0.05169,0.27319,0.12775,0.00091,0.04869,0.04267,-0.04954,0.06673,0.10112,0.04838,-0.01984,-0.06383,0.19516,0.09453,0.00531,0.04684,0.03297
JAP,0.13023,-0.06633,0.07892,0.09629,0.14371,0.0712,0.10306,0.08703,0.01588,-0.23383,0.24861,-0.0012,0.00146,0.0081,0.09342,0.03211,0.01618,0.06619,0.0376,-0.01458,-0.11637,0.11907,0.05546,0.02967,0.01005,-0.00238
RUS,0.06321,0.04324,0.1014,0.13281,0.1197,0.06816,0.06665,0.06298,0.03853,-0.04504,0.08611,-0.0209,-0.00061,0.04885,-0.00976,0.02972,0.01852,0.04465,0.05105,-0.03347,-0.04395,0.00574,-0.08388,-0.11638,-0.01992,0.02423
SA,0.08314,0.02393,0.00989,0.00109,0.02834,0.08567,0.07463,0.07829,0.0155,-0.17024,0.07718,0.03008,0.01112,0.03733,0.03646,0.0306,0.00407,-0.00273,0.02748,-0.03313,-0.12004,0.09651,0.06818,0.03732,-0.0204,0.01393
USA,0.08312,-0.0558,-0.01954,0.02105,0.09644,0.06945,0.09478,0.08762,0.05789,-0.08311,0.12647,0.07178,0.04019,0.0301,0.03902,0.0032,0.00474,0.04115,0.02854,0.00533,-0.13127,0.06477,0.07513,0.02764,0.03273,0.0189
RoW,0.110822136,0.02749613,0.060135991,0.093275007,0.133572914,0.121482373,0.094509237,0.133499897,0.099156889,-0.07936973,0.111037181,0.095478005,0.055798041,0.034104855,0.049187068,0.012983671,0.005251633,0.055840955,0.041634218,0.003042558,-0.10230152,0.103786728,0.075465096,0.005395314,0.046227189,0.034990314
OECD,0.120826445,-0.044184991,0.051475963,0.063669254,0.103876466,0.081843512,0.066758074,0.078322979,0.036563841,-0.116602384,0.146373761,0.081064318,0.035742716,0.040440556,0.011859798,0.024033538,0.017616094,0.058416822,0.02283379,-0.008928314,-0.071460865,0.073400304,0.092881897,0.044207209,0.012476117,0.030058017
EU,0.123632594,0.024806207,0.01116122,0.033946671,0.068788304,0.063129914,0.090843893,0.07457009,0.002587084,-0.120060864,0.092883699,0.043467008,-0.015834945,0.014571569,0.047336378,0.064301319,0.040823528,0.054133451,0.042073875,0.032501707,-0.091464042,0.104954677,0.085667943,-0.006240891,0.002985407,0.010242865
