,2017,2018,2019,2020,2021,2022,2023,2024
"UK Products of agriculture, hunting and related services",0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
"UK Products of forestry, logging and related services",0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
UK Fish and other fishing products; aquaculture products; support services to fishing,0.003006012,0.004433089,0.004682142,0.008910307,0.040326098,0.009241627,0.007160605,0.005471692
UK Coal and lignite,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Crude petroleum and natural gas,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Metal ores,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Other mining and quarrying products,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Mining support services,0.000601202,0.006455652,0.006266068,0.007813493,0.05193663,0.009423549,0.006708322,0.002200002
UK Preserved meat and meat products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Vegetable and animal oils and fats,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Dairy products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Grain mill products, starches and starch products",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Bakery and farinaceous products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other food products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Prepared animal feeds,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Alcoholic beverages,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Soft drinks,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Tobacco products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Textiles,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Wearing apparel,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Leather and related products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Paper and paper products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Printing and recording services,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Coke and refined petroleum products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Paints, varnishes and similar coatings, printing ink and mastics",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Other chemical products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Petrochemicals - 20.14/16/17/60,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Dyestuffs, agro-chemicals - 20.12/20",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Basic pharmaceutical products and pharmaceutical preparations,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Rubber and plastic products,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Cement, lime, plaster and articles of concrete, cement and plaster",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
"UK Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
UK Basic iron and steel,0.002618874,0.005870089,0.005712727,0.008314253,0.024400295,0.009273847,0.007092367,0.003172328
