Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UK,0,0.04,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.00,-0.05,0.02,0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.02,-0.10,0.09,0.05,0.00,0.01,0.01
BRA,0,0.01,0.03,0.01,0.06,0.03,0.04,0.06,0.05,0.00,0.08,0.04,0.02,0.03,0.01,-0.04,-0.03,0.01,0.02,0.01,-0.03,0.05,0.03,0.03,0.03,0.02
CHI,0,0.09,0.08,0.09,0.10,0.10,0.11,0.13,0.14,0.10,0.09,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.02,0.09,0.03,0.05,0.05,0.04
IND,0,0.04,0.05,0.04,0.08,0.08,0.08,0.08,0.08,0.03,0.08,0.08,0.05,0.06,0.07,0.08,0.08,0.07,0.06,0.04,-0.06,0.10,0.08,0.09,0.06,0.06
JAP,0,0.03,0.00,0.00,0.02,0.02,0.02,0.01,0.01,-0.01,-0.06,0.04,0.00,0.01,0.02,0.00,0.01,0.02,0.01,0.00,-0.04,0.03,0.01,0.01,0.00,0.01
RUS,0,0.10,0.05,0.05,0.07,0.07,0.06,0.08,0.09,0.05,-0.08,0.05,0.04,0.04,0.02,0.01,-0.02,0.02,0.03,0.02,-0.03,0.06,-0.01,0.04,0.04,0.01
SA,0,0.04,0.03,0.04,0.03,0.05,0.05,0.06,0.05,0.03,-0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.00,-0.06,0.05,0.02,0.01,0.01,0.01
USA,0,0.04,0.01,0.02,0.03,0.04,0.03,0.03,0.02,0.00,-0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,-0.02,0.06,0.03,0.03,0.03,0.02
RoW,0,0.07,0.03,0.04,0.05,0.07,0.05,0.06,0.06,0.03,0.02,0.06,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.03,-0.03,0.05,0.04,0.03,0.03,0.02
OECD,0,0.05,0.01,0.02,0.02,0.04,0.03,0.04,0.03,0.01,-0.01,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.01,-0.04,0.07,0.04,0.02,0.02,0.01
EU,0,0.04,0.02,0.01,0.01,0.03,0.02,0.04,0.03,0.01,-0.04,0.02,0.02,-0.01,0.00,0.02,0.02,0.03,0.02,0.02,-0.05,0.06,0.03,0.00,0.01,0.01
