Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
UK,0.09416,0.06197,0.04738,0.01642,0.06733,0.07048,0.10575,-0.01395,-0.0099,-0.07015,0.08973,0.02933,0.02462,0.03239,0.05095,0.04955,0.0398,0.03163,0.03097,0.0272,-0.15885,0.0581,0.12983,-0.01231,0.02689,0.0183
BRA,0.14735,0.03027,-0.11773,-0.02674,0.13783,0.0931,0.14823,0.23092,0.14845,-0.11875,0.37167,0.07313,0.00513,0.07518,0.00058,-0.12793,-0.08721,0.07757,0.06976,0.03738,-0.08468,0.16744,0.007,0.00802,0.10062,0.02382
CHI,0.25165,0.14656,0.21943,0.32141,0.201,0.13385,0.17693,0.14901,0.07545,0.03117,0.23094,0.13422,0.06591,0.10647,0.07774,-0.00438,0.04387,0.06117,0.07909,-0.01783,-0.07435,0.11086,-0.03001,0.06343,0.0747,-0.00849
IND,0.02189,-0.00893,0.12442,0.08525,0.35837,0.16645,0.11499,0.18801,0.0373,0.07319,0.15606,0.10278,0.01588,-0.03446,0.06347,0.01591,0.04426,0.13124,0.03806,-0.03659,-0.13664,0.18969,0.09911,-0.0082,0.05351,0.04991
JAP,0.09562,0.01163,0.00787,0.03394,0.08504,0.05946,0.04704,0.02271,0.00733,-0.1556,0.11285,0.05728,0.05453,0.03169,0.08125,0.0044,-0.01175,0.03307,0.03814,0.00988,-0.06763,0.05206,0.08255,-0.01488,0.01312,0.00387
RUS,0.14535,0.16955,0.19018,0.062,0.11524,0.10037,0.26976,0.34386,0.2218,-0.32624,0.2898,0.20092,0.07203,0.01117,-0.07821,-0.25818,-0.04283,0.16808,0.02692,0.02815,-0.11824,0.1664,-0.13899,0.07076,0.17725,-0.05254
SA,0.05338,0.0025,0.05342,0.08085,0.15508,0.10879,0.18261,0.09366,0.02809,-0.1766,0.10794,0.11838,0.03868,0.04039,-0.00687,0.05045,-0.04133,0.01533,0.03479,0.00553,-0.17572,0.09605,0.14985,0.03949,-0.06095,0.02048
USA,0.13,-0.02462,0.03669,0.05123,0.10984,0.0649,0.06419,0.02566,-0.02148,-0.12627,0.12968,0.04816,0.02449,0.01212,0.0516,0.05191,0.01458,0.0471,0.04038,0.01176,-0.08979,0.14671,0.08593,-0.01172,0.05304,0.02643
RoW,0.117621586,0.002467155,0.048898022,0.103255249,0.125044516,0.067593312,0.068045693,0.06568945,0.033310012,-0.04342404,0.097560611,0.071866695,0.03714869,0.023786657,0.027259944,0.042404409,0.02579735,0.050069281,0.031090739,0.00509616,-0.078571967,0.09283489,0.069362752,0.023820042,0.042476158,0.028738533
OECD,0.118937277,0.009411715,0.016368776,-0.005917235,0.060253227,0.04356488,0.040881013,0.035332424,-1.29595E-05,-0.073719288,0.093924548,0.053746666,0.057384151,0.044223422,0.055108644,0.047460641,0.027883757,0.037446361,0.050174737,0.023778252,-0.089047585,0.078744979,0.061752893,0.009507021,0.020597283,0.021428272
EU,0.132755948,0.041055742,0.022727747,0.014079359,0.07713684,0.05316462,0.087679892,0.068544875,0.005963496,-0.126023596,0.102871291,0.06794738,0.021986187,0.025425311,0.039711338,0.052350965,0.030668317,0.054724583,0.033265304,0.02813074,-0.110151781,0.114386664,0.076514104,0.011245285,0.008515984,0.001264841
