"UK Products of agriculture, hunting and related services",A,,
"UK Products of forestry, logging and related services",A,,
UK Fish and other fishing products; aquaculture products; support services to fishing,A,,
UK Coal and lignite,B,,
UK Crude petroleum and natural gas,B,,
UK Metal ores,B,,
UK Other mining and quarrying products,B,,
UK Mining support services,B,,
UK Preserved meat and meat products,C,,
"UK Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",C,,
UK Vegetable and animal oils and fats,C,,
UK Dairy products,C,,
"UK Grain mill products, starches and starch products",C,,
UK Bakery and farinaceous products,C,,
UK Other food products,C,,
UK Prepared animal feeds,C,,
UK Alcoholic beverages,C,,
UK Soft drinks,C,,
UK Tobacco products,C,,
UK Textiles,C,,
UK Wearing apparel,C,,
UK Leather and related products,C,,
"UK Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C,,
UK Paper and paper products,C,,
UK Printing and recording services,C,,
UK Coke and refined petroleum products,C,,
"UK Paints, varnishes and similar coatings, printing ink and mastics",C,,
"UK Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",C,,
UK Other chemical products,C,,
"UK Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",C,,
UK Petrochemicals - 20.14/16/17/60,C,,
"UK Dyestuffs, agro-chemicals - 20.12/20",C,,
UK Basic pharmaceutical products and pharmaceutical preparations,C,,
UK Rubber and plastic products,C,,
"UK Cement, lime, plaster and articles of concrete, cement and plaster",C,,
"UK Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",C,,
UK Basic iron and steel,C,,
UK Other basic metals and casting,C,,
UK Weapons and ammunition,C,,
"UK Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",C,,
"UK Computer, electronic and optical products",C,,
UK Electrical equipment,C,,
UK Machinery and equipment n.e.c.,C,,
"UK Motor vehicles, trailers and semi-trailers",C,,
UK Ships and boats,C,,
UK Air and spacecraft and related machinery,C,,
UK Other transport equipment - 30.2/4/9,C,,
UK Furniture,C,,
UK Other manufactured goods,C,,
UK Repair and maintenance of ships and boats,C,,
UK Repair and maintenance of aircraft and spacecraft,C,,
UK Rest of repair; Installation - 33.11-14/17/19/20,C,,
"UK Electricity, transmission and distribution",D,,
UK Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,D,,
UK Natural water; water treatment and supply services,E,,
UK Sewerage services; sewage sludge,E,,
"UK Waste collection, treatment and disposal services; materials recovery services",E,,
UK Remediation services and other waste management services,E,,
UK Buildings and building construction works,F,,
UK Constructions and construction works for civil engineering,F,,
UK Specialised construction works,F,,
UK Wholesale and retail trade and repair services of motor vehicles and motorcycles,G,,
"UK Wholesale trade services, except of motor vehicles and motorcycles",G,,
"UK Retail trade services, except of motor vehicles and motorcycles",G,,
UK Rail transport services,H,,
"UK Land transport services and transport services via pipelines, excluding rail transport",H,,
UK Water transport services,H,,
UK Air transport services,H,,
UK Warehousing and support services for transportation,H,,
UK Postal and courier services,H,,
UK Accommodation services,I,,
UK Food and beverage serving services,I,,
UK Publishing services,J,,
"UK Motion picture, video and TV programme production services, sound recording & music publishing",J,,
UK Programming and broadcasting services,J,,
UK Telecommunications services,J,,
"UK Computer programming, consultancy and related services",J,,
UK Information services,J,,
"UK Financial services, except insurance and pension funding",K,,
"UK Insurance, reinsurance and pension funding services, except compulsory social security",K,,
UK Pension funding services,K,,
UK Services auxiliary to financial services and insurance services,K,,
"UK Real estate services, excluding on a fee or contract basis and imputed rent",K,,
UK Owner-Occupiers' Housing Services,L,,
UK Real estate services on a fee or contract basis,L,,
UK Legal services,M,,
"UK Accounting, bookkeeping and auditing services; tax consulting services",M,,
UK Services of head offices; management consulting services,M,,
UK Architectural and engineering services; technical testing and analysis services,M,,
UK Scientific research and development services,M,,
UK Advertising and market research services,M,,
"UK Other professional, scientific and technical services",M,,
UK Veterinary services,M,,
UK Rental and leasing services,N,,
UK Employment services,N,,
"UK Travel agency, tour operator and other reservation services and related services",N,,
UK Security and investigation services,N,,
UK Services to buildings and landscape,N,,
"UK Office administrative, office support and other business support services",N,,
UK Public administration and defence services; compulsory social security services,O,,
UK Education services,P,,
UK Human health services,Q,,
UK Residential care services,Q,,
UK Social work services without accommodation,Q,,
"UK Creative, arts and entertainment services",R,,
"UK Libraries, archives, museums and other cultural services",R,,
UK Gambling and betting services,R,,
UK Sports services and amusement and recreation services,R,,
UK Services furnished by membership organisations,S,,
UK Repair services of computers and personal and household goods,S,,
UK Other personal services,S,,
UK Services of households as employers of domestic personnel,T,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
